lineId,componentWordId,description,critical,field,value,status,sourceRef,sourceQuote,retrievedAt,nextAction
structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,single_use_bioreactor_bag,Single-use bioreactor bag,true,supplier,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,single_use_bioreactor_bag,Single-use bioreactor bag,true,manufacturer,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,single_use_bioreactor_bag,Single-use bioreactor bag,true,mpn,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,single_use_bioreactor_bag,Single-use bioreactor bag,true,unit_cost_gbp,,missing_source,,,,Admit source-backed supplier/manufacturer/MPN/unit-cost evidence before BoM can pass.
structure_containment_single_use_bag_chamber_single_use_bioreactor_bag,single_use_bioreactor_bag,Single-use bioreactor bag,true,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_bag_support_tray,bag_support_tray,bag support tray,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_bag_support_tray,bag_support_tray,bag support tray,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_bag_support_tray,bag_support_tray,bag support tray,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_bag_support_tray,bag_support_tray,bag support tray,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_bag_support_tray,bag_support_tray,bag support tray,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_port_clamp_set,port_clamp_set,port clamp set,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_port_clamp_set,port_clamp_set,port clamp set,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_port_clamp_set,port_clamp_set,port clamp set,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_port_clamp_set,port_clamp_set,port clamp set,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_port_clamp_set,port_clamp_set,port clamp set,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_bag_integrity_test_label,bag_integrity_test_label,bag integrity test label,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_bag_integrity_test_label,bag_integrity_test_label,bag integrity test label,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_bag_integrity_test_label,bag_integrity_test_label,bag integrity test label,false,mpn,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_bag_integrity_test_label,bag_integrity_test_label,bag integrity test label,false,unit_cost_gbp,,not_claimed,,,,No claim is made for this field yet.
structure_containment_single_use_bag_chamber_bag_integrity_test_label,bag_integrity_test_label,bag integrity test label,false,lead_time_weeks,,not_claimed,,,,No claim is made for this field yet.
structure_containment_support_frame_load_path_stainless_support_frame,stainless_support_frame,stainless support frame,false,supplier,,not_claimed,,,,No claim is made for this field yet.
structure_containment_support_frame_load_path_stainless_support_frame,stainless_support_frame,stainless support frame,false,manufacturer,,not_claimed,,,,No claim is made for this field yet.
structure_containment_support_frame_load_path_stainless_support_frame,stainless_support_frame,stainless support frame,false,mpn,,not_claimed,,,,No claim is made for this field yet.
