
                        S T E P       1


                                INCREMENT     1


 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set SOLID and time  0.1000000E+01

         1   1  3.693930E+00  2.247388E+02  1.125031E+01 -7.729126E+00  6.968278E-02  1.833493E-03
         1   2  1.837339E-02  2.161695E+02  7.589386E+00 -7.558010E+00  7.675880E-02  1.980211E-03
         1   3  4.309708E+00  2.241230E+02  1.125031E+01 -1.398124E+01  6.952695E-02  5.005444E-03
         1   4  6.205184E-01  2.155674E+02  7.589385E+00 -1.367171E+01  7.658328E-02  5.553004E-03
         1   5  3.901022E+00  2.248559E+02  1.134755E+01 -7.725977E+00  1.070806E-01  3.670738E-03
         1   6  2.269658E-01  2.162900E+02  7.688119E+00 -7.554931E+00  1.141566E-01  3.817457E-03
         1   7  4.516548E+00  2.242403E+02  1.134755E+01 -1.397554E+01  1.069248E-01  6.842690E-03
         1   8  8.288655E-01  2.156881E+02  7.688118E+00 -1.366614E+01  1.139811E-01  7.390249E-03
         2   1  5.879785E+00  2.138193E+02  8.660173E+00 -7.270882E+00  1.060039E-01  3.285578E-03
         2   2  2.563514E+00  2.060695E+02  5.375392E+00 -7.115855E+00  1.115674E-01  3.400935E-03
         2   3  6.459057E+00  2.132401E+02  8.660173E+00 -1.315232E+01  1.058155E-01  7.120446E-03
         2   4  3.130434E+00  2.055026E+02  5.375392E+00 -1.287189E+01  1.113635E-01  7.550964E-03
         2   5  6.048191E+00  2.139243E+02  8.742196E+00 -7.268665E+00  2.106613E-01  8.427076E-03
         2   6  2.732937E+00  2.061769E+02  5.458431E+00 -7.113686E+00  2.162248E-01  8.542431E-03
         2   7  6.627285E+00  2.133453E+02  8.742196E+00 -1.314831E+01  2.104729E-01  1.226194E-02
         2   8  3.299684E+00  2.056101E+02  5.458430E+00 -1.286797E+01  2.160209E-01  1.269246E-02
         3   1  7.130056E+00  2.036133E+02  6.040235E+00 -6.870298E+00  1.328618E-01  4.356097E-03
         3   2  4.119440E+00  1.965626E+02  3.073444E+00 -6.729030E+00  1.360511E-01  4.422228E-03
